Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary
11961.0,0.82,0.67,3.0,198.0,3.0,1.0,0.0,product_mng,low
12645.0,0.58,0.62,4.0,238.0,3.0,0.0,0.0,hr,low
10874.0,0.62,0.71,4.0,268.0,3.0,0.0,0.0,technical,low
14368.0,0.83,1.0,5.0,240.0,5.0,0.0,0.0,support,low
4100.0,0.5,0.85,4.0,272.0,2.0,0.0,0.0,support,medium
4140.0,0.92,0.69,4.0,180.0,3.0,0.0,0.0,sales,low
,,,,,,,,,
553.0,0.82,0.85,5.0,248.0,5.0,0.0,0.0,sales,low
10018.0,0.89,0.84,6.0,196.0,4.0,0.0,0.0,sales,medium
943.0,0.11,0.89,6.0,301.0,4.0,0.0,0.0,accounting,low
13530.0,0.75,0.94,5.0,194.0,4.0,0.0,0.0,technical,low
10216.0,0.65,0.71,4.0,186.0,2.0,0.0,0.0,IT,low
6551.0,0.73,0.67,4.0,153.0,3.0,0.0,0.0,IT,high
14763.0,0.75,0.99,5.0,254.0,5.0,0.0,0.0,sales,low
5075.0,0.61,0.75,2.0,100.0,4.0,0.0,0.0,technical,low
10205.0,0.57,0.62,5.0,263.0,2.0,0.0,0.0,support,medium
13836.0,0.77,0.48,5.0,262.0,7.0,0.0,0.0,IT,medium
12257.0,0.11,0.81,6.0,266.0,4.0,1.0,0.0,sales,medium
3793.0,0.68,1.0,5.0,203.0,2.0,0.0,0.0,support,low
1016.0,0.39,0.48,2.0,138.0,3.0,0.0,0.0,sales,low
5024.0,0.98,0.93,5.0,145.0,4.0,0.0,0.0,IT,low
8914.0,0.2,0.5,6.0,282.0,6.0,1.0,0.0,technical,low
8413.0,0.92,0.97,4.0,201.0,2.0,0.0,0.0,sales,medium
11078.0,0.97,0.57,4.0,150.0,2.0,0.0,0.0,IT,medium
12458.0,0.77,1.0,4.0,255.0,5.0,0.0,0.0,RandD,medium
6146.0,0.86,0.85,3.0,254.0,3.0,0.0,0.0,technical,medium
5108.0,0.56,0.59,3.0,185.0,2.0,0.0,0.0,RandD,medium
2777.0,0.52,0.72,3.0,253.0,3.0,0.0,0.0,accounting,low
11880.0,0.78,0.8,3.0,256.0,2.0,0.0,0.0,IT,medium
1233.0,0.09,0.88,7.0,265.0,4.0,0.0,0.0,sales,medium
308.0,0.11,0.81,5.0,287.0,4.0,0.0,0.0,sales,low
6524.0,0.53,0.79,3.0,206.0,3.0,0.0,0.0,technical,medium
10746.0,0.84,0.86,3.0,199.0,3.0,0.0,0.0,IT,medium
3703.0,0.62,0.97,5.0,180.0,2.0,0.0,0.0,technical,high
8388.0,0.15,0.55,3.0,255.0,3.0,1.0,0.0,product_mng,medium
6259.0,0.5,0.64,4.0,208.0,2.0,0.0,0.0,marketing,medium
1967.0,0.1,0.98,6.0,265.0,4.0,0.0,0.0,technical,low
2028.0,0.92,0.93,4.0,208.0,3.0,0.0,0.0,technical,medium
6853.0,0.53,0.77,2.0,271.0,2.0,0.0,0.0,technical,low
10539.0,0.9,1.0,4.0,218.0,2.0,0.0,0.0,marketing,low
7296.0,0.97,0.63,3.0,141.0,3.0,0.0,0.0,technical,medium
4897.0,0.5,0.78,6.0,138.0,3.0,0.0,0.0,sales,medium
14878.0,0.84,1.0,5.0,242.0,5.0,0.0,0.0,sales,low
8084.0,0.58,0.53,3.0,287.0,5.0,0.0,0.0,IT,low
14699.0,0.19,1.0,4.0,192.0,4.0,0.0,0.0,accounting,low
14392.0,0.4,0.47,2.0,146.0,3.0,0.0,0.0,sales,medium
1717.0,0.1,0.9,6.0,301.0,5.0,0.0,0.0,technical,low
12329.0,0.1,0.85,6.0,266.0,4.0,0.0,0.0,sales,low
9916.0,0.97,0.76,6.0,142.0,2.0,0.0,0.0,product_mng,low
,,,,,,,,,
,,,,,,,,,
9836.0,0.51,0.85,2.0,248.0,4.0,0.0,0.0,IT,high
13388.0,0.65,1.0,4.0,229.0,4.0,0.0,0.0,product_mng,low
9689.0,0.64,0.92,5.0,211.0,2.0,1.0,0.0,IT,medium
7888.0,0.7,0.57,4.0,150.0,4.0,0.0,0.0,sales,high
12129.0,0.09,0.82,6.0,250.0,4.0,0.0,0.0,support,low
14523.0,0.11,0.95,7.0,300.0,4.0,0.0,0.0,management,medium
14425.0,0.45,0.46,2.0,153.0,3.0,0.0,0.0,management,low
1843.0,0.38,0.51,2.0,159.0,3.0,0.0,0.0,sales,low
6403.0,0.8,0.85,4.0,139.0,2.0,0.0,0.0,product_mng,medium
1657.0,0.84,0.85,5.0,260.0,5.0,0.0,0.0,support,low
,,,,,,,,,
3913.0,0.44,0.57,5.0,183.0,2.0,1.0,0.0,sales,low
5121.0,0.68,0.72,3.0,213.0,3.0,0.0,1.0,marketing,medium
9752.0,0.96,0.51,3.0,241.0,6.0,1.0,0.0,support,low
642.0,0.74,0.97,4.0,228.0,5.0,0.0,0.0,hr,low
3910.0,0.62,0.88,5.0,146.0,3.0,0.0,0.0,sales,low
9825.0,0.47,0.49,2.0,112.0,3.0,1.0,0.0,support,medium
5687.0,0.99,0.67,3.0,200.0,2.0,0.0,0.0,technical,low
415.0,0.91,0.97,5.0,233.0,5.0,0.0,0.0,hr,medium
2728.0,0.15,0.56,6.0,140.0,5.0,0.0,0.0,support,medium
10188.0,0.93,0.57,3.0,141.0,2.0,0.0,0.0,technical,low
8009.0,0.98,0.75,5.0,168.0,4.0,1.0,0.0,RandD,medium
4580.0,0.67,0.74,3.0,204.0,3.0,0.0,0.0,RandD,medium
14762.0,0.11,0.96,6.0,298.0,4.0,0.0,0.0,sales,low
4880.0,0.43,0.62,2.0,180.0,3.0,0.0,0.0,RandD,low
11178.0,0.85,0.81,4.0,260.0,3.0,0.0,0.0,product_mng,medium
14822.0,0.09,0.95,7.0,256.0,4.0,0.0,0.0,marketing,medium
,,,,,,,,,
5328.0,0.65,0.52,4.0,266.0,3.0,1.0,0.0,IT,medium
5728.0,0.83,0.64,2.0,192.0,2.0,0.0,0.0,sales,low
12350.0,0.4,0.46,2.0,149.0,3.0,0.0,0.0,technical,medium
11605.0,0.5,0.49,4.0,222.0,3.0,0.0,0.0,management,high
9442.0,0.78,0.9,4.0,238.0,2.0,0.0,0.0,support,low
12611.0,0.09,0.95,7.0,256.0,4.0,0.0,0.0,marketing,medium
11363.0,0.43,0.65,4.0,124.0,2.0,0.0,0.0,sales,medium
,,,,,,,,,
,,,,,,,,,
10496.0,0.3,0.66,4.0,119.0,3.0,0.0,0.0,technical,low
8837.0,0.57,0.98,3.0,214.0,2.0,0.0,0.0,technical,medium
400.0,0.1,0.87,6.0,250.0,4.0,0.0,0.0,sales,low
9125.0,0.28,0.46,5.0,277.0,6.0,0.0,0.0,technical,medium
8022.0,0.65,0.95,4.0,153.0,2.0,0.0,0.0,marketing,low
10563.0,0.37,0.37,5.0,173.0,2.0,0.0,0.0,accounting,low
1308.0,0.44,0.5,2.0,135.0,3.0,0.0,0.0,sales,low
5503.0,0.48,0.61,3.0,146.0,3.0,0.0,0.0,marketing,medium
4954.0,0.92,0.53,3.0,238.0,2.0,0.0,0.0,product_mng,low
1917.0,0.44,0.52,2.0,149.0,3.0,0.0,0.0,marketing,low
11358.0,0.8,0.95,4.0,272.0,2.0,0.0,0.0,sales,low
9393.0,0.5,0.97,2.0,252.0,4.0,0.0,0.0,management,medium
5297.0,0.89,0.63,4.0,164.0,3.0,0.0,0.0,hr,low
9895.0,0.57,0.48,5.0,221.0,3.0,0.0,0.0,support,medium
,,,,,,,,,
1735.0,0.11,0.88,7.0,275.0,4.0,0.0,0.0,support,low
5917.0,0.48,0.63,3.0,180.0,2.0,1.0,0.0,technical,low
8663.0,0.7,0.74,4.0,150.0,3.0,1.0,0.0,technical,low
2314.0,0.98,0.77,3.0,134.0,2.0,1.0,0.0,sales,low
,,,,,,,,,
10785.0,0.13,0.62,5.0,268.0,3.0,0.0,0.0,sales,medium
2989.0,0.99,0.76,4.0,204.0,2.0,0.0,0.0,sales,medium
6733.0,0.91,0.71,5.0,156.0,3.0,0.0,0.0,sales,low
14481.0,0.38,0.86,6.0,139.0,6.0,0.0,0.0,technical,medium
11300.0,0.77,0.75,6.0,246.0,6.0,0.0,0.0,sales,low
7081.0,0.97,0.95,4.0,173.0,2.0,0.0,0.0,technical,low
10534.0,0.79,0.56,4.0,248.0,3.0,0.0,0.0,sales,low
5148.0,0.82,0.84,3.0,237.0,2.0,0.0,0.0,technical,low
13422.0,0.6,0.54,4.0,182.0,6.0,0.0,0.0,sales,medium
6398.0,0.81,0.75,4.0,206.0,3.0,0.0,0.0,IT,medium
1442.0,0.11,0.83,7.0,255.0,5.0,0.0,0.0,product_mng,medium
11465.0,0.49,0.66,3.0,155.0,3.0,0.0,1.0,sales,low
,,,,,,,,,
5814.0,0.95,0.67,4.0,227.0,3.0,0.0,0.0,sales,low
4376.0,0.72,0.93,4.0,174.0,2.0,0.0,0.0,sales,low
13357.0,0.56,0.94,3.0,154.0,3.0,1.0,0.0,support,low
10954.0,0.66,0.76,3.0,170.0,3.0,0.0,0.0,technical,low
685.0,0.42,1.0,3.0,202.0,3.0,0.0,0.0,sales,medium
14977.0,0.4,0.47,2.0,136.0,3.0,0.0,0.0,hr,medium
10483.0,0.56,0.55,2.0,270.0,3.0,0.0,0.0,sales,medium
10492.0,0.42,0.73,3.0,108.0,4.0,0.0,0.0,technical,low
12822.0,0.19,0.58,4.0,173.0,5.0,0.0,0.0,accounting,medium
11723.0,0.16,0.95,6.0,117.0,7.0,0.0,0.0,sales,medium
11581.0,0.51,0.86,3.0,182.0,10.0,0.0,0.0,sales,low
13069.0,0.6,0.96,4.0,220.0,3.0,1.0,1.0,sales,medium
6763.0,0.85,0.8,4.0,158.0,3.0,0.0,0.0,support,medium
12058.0,0.1,0.81,6.0,309.0,4.0,0.0,0.0,technical,low
12756.0,0.37,0.48,2.0,160.0,3.0,0.0,0.0,product_mng,low
7977.0,0.6,0.57,5.0,145.0,3.0,1.0,0.0,technical,low
5953.0,0.93,0.92,5.0,189.0,2.0,0.0,0.0,RandD,low
14643.0,0.41,0.57,2.0,160.0,3.0,0.0,0.0,support,low
10200.0,0.61,0.56,2.0,160.0,3.0,0.0,0.0,support,medium
7460.0,0.93,0.65,4.0,258.0,3.0,0.0,0.0,support,medium
11637.0,0.41,0.67,6.0,221.0,10.0,0.0,0.0,marketing,medium
7278.0,0.55,0.68,3.0,185.0,2.0,0.0,0.0,sales,low
2083.0,0.33,0.45,6.0,239.0,3.0,0.0,0.0,sales,low
4428.0,0.69,0.85,3.0,200.0,2.0,0.0,0.0,RandD,medium
5116.0,0.78,0.45,3.0,253.0,6.0,0.0,1.0,support,medium
14251.0,0.41,0.54,2.0,152.0,3.0,0.0,0.0,technical,low
11798.0,0.99,0.97,4.0,211.0,2.0,0.0,1.0,marketing,low
13632.0,0.78,0.43,4.0,275.0,3.0,0.0,0.0,IT,low
11873.0,0.97,0.94,4.0,253.0,3.0,0.0,0.0,support,medium
9192.0,0.32,0.95,2.0,184.0,5.0,0.0,0.0,hr,medium
11575.0,0.49,0.52,4.0,161.0,7.0,0.0,0.0,management,high
,,,,,,,,,
2890.0,0.96,0.69,3.0,214.0,2.0,1.0,0.0,IT,low
8940.0,0.78,0.57,4.0,264.0,3.0,0.0,0.0,sales,high
13646.0,0.78,0.96,3.0,202.0,4.0,1.0,0.0,marketing,medium
11769.0,0.8,0.84,4.0,242.0,2.0,1.0,0.0,marketing,low
130.0,0.37,0.45,2.0,151.0,3.0,0.0,0.0,support,low
9893.0,0.5,0.91,4.0,148.0,2.0,0.0,0.0,technical,medium
4549.0,0.86,0.56,4.0,247.0,3.0,0.0,1.0,technical,high
2630.0,0.93,0.88,4.0,177.0,3.0,0.0,0.0,technical,low
450.0,0.81,0.92,5.0,239.0,5.0,0.0,0.0,product_mng,low
12377.0,0.56,0.71,4.0,296.0,2.0,0.0,0.0,IT,medium
10338.0,0.9,0.66,3.0,256.0,4.0,0.0,0.0,hr,low
9575.0,0.5,1.0,3.0,149.0,2.0,0.0,0.0,hr,medium
634.0,0.38,0.56,2.0,154.0,3.0,0.0,0.0,sales,low
10430.0,0.89,0.7,3.0,256.0,4.0,0.0,0.0,support,medium
14193.0,0.49,0.89,4.0,201.0,8.0,0.0,0.0,sales,medium
8540.0,0.73,0.83,4.0,241.0,3.0,0.0,0.0,IT,medium
9560.0,0.15,0.95,4.0,173.0,5.0,1.0,0.0,sales,low
786.0,0.85,0.99,5.0,248.0,5.0,0.0,0.0,sales,low
11735.0,0.53,0.59,4.0,259.0,3.0,0.0,0.0,sales,low
918.0,0.38,0.55,2.0,145.0,3.0,0.0,0.0,support,low
12757.0,0.77,0.92,5.0,235.0,5.0,0.0,0.0,IT,low
6350.0,0.34,0.81,4.0,116.0,3.0,1.0,0.0,sales,low
11604.0,0.69,0.86,5.0,195.0,6.0,0.0,0.0,management,high
3484.0,0.65,0.7,4.0,211.0,2.0,0.0,0.0,support,low
10437.0,0.99,0.87,5.0,211.0,2.0,0.0,0.0,support,medium
2852.0,0.69,0.76,5.0,222.0,3.0,1.0,0.0,sales,low
12478.0,0.09,0.79,6.0,275.0,4.0,0.0,0.0,sales,low
10829.0,0.62,0.7,2.0,134.0,3.0,0.0,0.0,product_mng,low
9340.0,0.96,0.76,4.0,152.0,3.0,1.0,0.0,accounting,low
13408.0,0.22,0.7,2.0,274.0,10.0,0.0,0.0,sales,high
8026.0,0.68,0.93,4.0,179.0,2.0,0.0,0.0,sales,medium
2478.0,0.81,0.83,3.0,196.0,2.0,0.0,0.0,technical,low
6919.0,0.69,0.86,4.0,214.0,2.0,0.0,0.0,support,high
11129.0,0.96,0.84,3.0,147.0,8.0,0.0,0.0,accounting,medium
3920.0,0.64,0.95,4.0,199.0,4.0,0.0,0.0,accounting,medium
4023.0,0.68,0.65,3.0,183.0,4.0,0.0,0.0,support,low
4917.0,0.99,0.52,4.0,167.0,3.0,0.0,0.0,hr,low
12829.0,0.66,0.56,4.0,185.0,3.0,0.0,0.0,sales,medium
6952.0,0.73,0.89,3.0,226.0,3.0,1.0,0.0,technical,high
2464.0,0.79,0.57,3.0,250.0,3.0,0.0,0.0,sales,low
9679.0,0.78,0.86,3.0,210.0,3.0,0.0,0.0,management,medium
8983.0,0.47,0.44,5.0,255.0,5.0,1.0,0.0,support,low
6105.0,0.99,0.85,5.0,261.0,4.0,0.0,0.0,RandD,medium
831.0,0.72,0.95,4.0,220.0,5.0,0.0,0.0,product_mng,low
3357.0,0.6,0.6,3.0,221.0,2.0,0.0,0.0,RandD,medium
12119.0,0.37,0.57,2.0,133.0,3.0,0.0,0.0,technical,low
7293.0,0.79,0.87,4.0,253.0,2.0,0.0,0.0,technical,medium
6623.0,0.79,0.66,3.0,183.0,3.0,0.0,0.0,management,high
,,,,,,,,,
,,,,,,,,,
9260.0,0.81,0.75,4.0,243.0,2.0,0.0,0.0,sales,low
967.0,0.09,0.85,5.0,281.0,4.0,0.0,0.0,support,medium
9953.0,0.5,0.75,4.0,239.0,2.0,0.0,0.0,accounting,low
8733.0,0.51,0.72,3.0,148.0,2.0,0.0,0.0,accounting,medium
14089.0,0.33,0.41,2.0,198.0,4.0,0.0,0.0,technical,medium
9527.0,0.45,0.87,2.0,268.0,4.0,1.0,0.0,IT,low
2555.0,0.43,0.75,3.0,108.0,2.0,0.0,0.0,technical,low
4906.0,0.54,0.76,3.0,157.0,4.0,0.0,0.0,sales,low
8916.0,0.56,0.57,5.0,237.0,2.0,0.0,0.0,IT,low
11657.0,0.78,0.69,4.0,202.0,3.0,0.0,0.0,product_mng,low
862.0,0.43,0.48,2.0,144.0,3.0,0.0,0.0,sales,low
13149.0,0.92,0.6,5.0,236.0,3.0,1.0,1.0,sales,medium
5526.0,0.24,0.5,4.0,232.0,3.0,0.0,1.0,accounting,high
2725.0,0.68,0.48,4.0,251.0,4.0,0.0,0.0,support,high
11355.0,0.62,0.97,2.0,271.0,3.0,0.0,0.0,sales,low
7449.0,0.55,0.98,4.0,137.0,2.0,0.0,0.0,technical,medium
8489.0,0.66,0.53,4.0,162.0,3.0,0.0,0.0,sales,low
10070.0,0.96,0.73,4.0,273.0,2.0,0.0,0.0,product_mng,low
493.0,0.11,0.83,6.0,244.0,4.0,0.0,0.0,hr,medium
9775.0,0.71,0.81,3.0,141.0,3.0,0.0,0.0,support,medium
13288.0,0.59,0.48,3.0,197.0,3.0,0.0,0.0,product_mng,medium
10847.0,0.48,0.51,3.0,136.0,3.0,0.0,0.0,marketing,low
4004.0,0.58,0.73,5.0,162.0,3.0,1.0,0.0,technical,medium
12536.0,0.37,0.56,2.0,156.0,3.0,0.0,0.0,sales,medium
9493.0,0.44,0.56,3.0,123.0,3.0,0.0,0.0,accounting,medium
922.0,0.4,0.48,2.0,138.0,3.0,0.0,0.0,marketing,medium
4995.0,0.94,0.59,5.0,250.0,3.0,0.0,0.0,hr,low
2510.0,0.58,0.75,4.0,186.0,2.0,0.0,0.0,product_mng,low
1564.0,0.43,0.52,2.0,146.0,3.0,0.0,0.0,technical,low
3525.0,0.94,0.6,3.0,193.0,3.0,0.0,0.0,sales,low
7610.0,0.85,0.75,3.0,214.0,3.0,0.0,0.0,support,medium
1849.0,0.78,0.86,5.0,274.0,5.0,0.0,0.0,sales,low
,,,,,,,,,
10903.0,0.76,0.92,3.0,176.0,2.0,0.0,0.0,IT,medium
5437.0,0.99,0.8,5.0,254.0,5.0,0.0,0.0,sales,medium
1451.0,0.78,0.78,4.0,260.0,5.0,0.0,0.0,RandD,low
97.0,0.1,0.77,6.0,265.0,4.0,0.0,0.0,sales,low
4280.0,0.76,0.62,4.0,197.0,3.0,0.0,0.0,technical,low
637.0,0.44,0.53,2.0,140.0,3.0,0.0,0.0,sales,low
4045.0,0.94,0.76,4.0,231.0,3.0,1.0,0.0,RandD,high
8265.0,0.84,0.74,3.0,234.0,3.0,1.0,0.0,sales,medium
10167.0,0.55,0.83,3.0,157.0,2.0,0.0,0.0,sales,medium
11895.0,0.82,0.76,4.0,266.0,3.0,0.0,1.0,management,high
6152.0,0.49,0.37,4.0,216.0,4.0,0.0,0.0,technical,low
7811.0,0.84,0.65,3.0,269.0,2.0,0.0,0.0,sales,low
7508.0,0.29,0.38,6.0,105.0,5.0,0.0,0.0,sales,low
9858.0,0.54,0.87,4.0,163.0,3.0,0.0,0.0,sales,medium
6607.0,0.63,0.5,4.0,167.0,3.0,1.0,0.0,technical,medium
13540.0,0.5,0.52,2.0,178.0,2.0,0.0,0.0,support,medium
3240.0,0.83,0.61,5.0,257.0,2.0,0.0,0.0,hr,low
10790.0,0.62,0.94,4.0,252.0,4.0,0.0,0.0,accounting,low
11588.0,0.18,0.49,3.0,240.0,2.0,1.0,0.0,marketing,low
878.0,0.49,0.63,6.0,265.0,3.0,0.0,0.0,technical,low
,,,,,,,,,
,,,,,,,,,
7110.0,0.78,0.91,4.0,202.0,2.0,0.0,0.0,sales,medium
9806.0,0.63,0.82,5.0,268.0,3.0,0.0,0.0,hr,high
11718.0,0.54,0.63,4.0,140.0,3.0,0.0,0.0,sales,medium
4845.0,0.66,0.96,4.0,103.0,2.0,0.0,0.0,technical,low
2894.0,0.72,0.58,4.0,149.0,3.0,0.0,0.0,product_mng,low
6132.0,0.52,0.63,3.0,269.0,2.0,0.0,0.0,sales,medium
1109.0,0.1,0.91,7.0,297.0,4.0,0.0,0.0,technical,low
,,,,,,,,,
7162.0,0.76,0.56,4.0,137.0,3.0,0.0,0.0,IT,low
901.0,0.78,0.94,5.0,271.0,6.0,0.0,0.0,IT,low
5001.0,0.35,1.0,6.0,186.0,2.0,0.0,0.0,technical,low
10201.0,0.57,0.97,5.0,196.0,2.0,0.0,0.0,support,medium
,,,,,,,,,
6971.0,0.64,0.57,4.0,271.0,2.0,0.0,0.0,sales,medium
10113.0,0.17,0.77,4.0,151.0,6.0,0.0,0.0,technical,low
9177.0,0.17,0.52,4.0,184.0,4.0,0.0,0.0,sales,low
11472.0,0.84,0.66,3.0,209.0,2.0,0.0,0.0,sales,low
5396.0,0.83,0.5,4.0,259.0,2.0,0.0,0.0,support,medium
12292.0,0.87,0.84,5.0,231.0,5.0,0.0,0.0,IT,low
10927.0,0.77,0.85,4.0,189.0,2.0,0.0,0.0,sales,low
11647.0,0.88,0.51,3.0,211.0,7.0,0.0,0.0,sales,medium
2203.0,0.14,0.64,5.0,164.0,5.0,0.0,0.0,product_mng,low
1616.0,0.1,0.93,6.0,307.0,4.0,0.0,0.0,sales,low
8435.0,0.58,0.45,3.0,131.0,2.0,0.0,0.0,technical,low
12365.0,0.4,0.5,2.0,141.0,3.0,1.0,0.0,technical,low
13700.0,0.7,0.53,3.0,215.0,7.0,1.0,0.0,technical,medium
11327.0,0.82,0.71,3.0,150.0,3.0,0.0,0.0,support,medium
13880.0,0.62,0.73,3.0,144.0,10.0,1.0,0.0,support,high
7197.0,0.51,0.83,3.0,133.0,3.0,0.0,0.0,sales,low
13716.0,0.7,0.68,3.0,150.0,3.0,0.0,0.0,support,low
12738.0,0.42,0.56,2.0,143.0,3.0,0.0,0.0,support,medium
6527.0,0.86,0.78,4.0,164.0,2.0,0.0,0.0,technical,low
,,,,,,,,,
9721.0,0.53,0.97,4.0,254.0,3.0,0.0,0.0,sales,low
13900.0,0.94,0.9,4.0,144.0,4.0,0.0,0.0,support,low
1654.0,0.1,0.88,7.0,282.0,4.0,0.0,0.0,support,low
11813.0,0.82,0.49,5.0,210.0,3.0,0.0,0.0,management,high
8675.0,0.64,0.72,4.0,254.0,3.0,0.0,0.0,support,low
,,,,,,,,,
5927.0,0.26,0.43,4.0,215.0,4.0,1.0,0.0,support,low
1085.0,0.77,0.83,4.0,245.0,5.0,0.0,0.0,sales,medium
11913.0,0.91,0.82,2.0,241.0,3.0,0.0,0.0,sales,medium
14332.0,0.14,0.62,4.0,158.0,4.0,1.0,0.0,technical,low
11371.0,0.21,0.43,5.0,175.0,2.0,1.0,0.0,sales,high
13362.0,0.54,0.61,4.0,118.0,5.0,0.0,0.0,support,low
501.0,0.91,0.84,5.0,265.0,5.0,0.0,0.0,technical,medium
478.0,0.09,0.79,6.0,275.0,4.0,0.0,0.0,sales,low
1205.0,0.43,0.56,2.0,158.0,3.0,0.0,0.0,IT,low
7371.0,0.84,0.52,5.0,171.0,3.0,0.0,0.0,technical,medium
2736.0,0.66,0.86,5.0,185.0,3.0,0.0,0.0,IT,low
14266.0,0.1,0.92,7.0,307.0,4.0,0.0,0.0,support,low
10681.0,0.92,0.76,5.0,132.0,3.0,1.0,0.0,RandD,low
189.0,0.37,0.55,2.0,152.0,3.0,0.0,0.0,technical,medium
,,,,,,,,,
7535.0,0.72,0.52,3.0,143.0,4.0,1.0,0.0,support,low
9051.0,0.61,0.9,4.0,216.0,3.0,0.0,0.0,technical,medium
4237.0,0.93,0.87,5.0,154.0,2.0,0.0,0.0,technical,medium
2519.0,0.63,0.98,4.0,175.0,2.0,0.0,0.0,sales,medium
7287.0,0.87,0.76,5.0,254.0,2.0,1.0,0.0,hr,low
2966.0,0.81,0.67,4.0,216.0,3.0,0.0,0.0,IT,low
5381.0,0.7,0.51,3.0,256.0,3.0,0.0,0.0,technical,low
1464.0,0.46,0.57,2.0,145.0,3.0,0.0,0.0,sales,low
12713.0,0.84,0.98,5.0,270.0,5.0,0.0,0.0,sales,low
7782.0,0.89,0.84,5.0,168.0,2.0,0.0,0.0,RandD,low
10257.0,0.21,0.39,6.0,132.0,5.0,0.0,0.0,accounting,medium
14124.0,0.91,0.82,2.0,241.0,3.0,0.0,0.0,sales,medium
10386.0,0.99,0.5,4.0,173.0,3.0,0.0,0.0,management,low
4296.0,0.51,0.5,5.0,251.0,3.0,1.0,0.0,sales,low
7620.0,0.72,0.82,4.0,231.0,3.0,0.0,0.0,IT,low
5319.0,0.88,0.93,4.0,195.0,2.0,0.0,0.0,support,medium
14854.0,0.73,0.97,5.0,235.0,5.0,0.0,0.0,hr,low
1266.0,0.1,0.92,6.0,285.0,4.0,0.0,0.0,technical,low
7381.0,0.69,0.8,5.0,203.0,2.0,1.0,0.0,support,high
13846.0,0.77,0.73,3.0,201.0,10.0,0.0,0.0,management,high
7567.0,0.65,0.85,4.0,204.0,3.0,0.0,0.0,sales,medium
8825.0,0.61,0.82,3.0,271.0,3.0,0.0,0.0,support,low
3846.0,0.64,0.9,4.0,211.0,3.0,0.0,0.0,hr,medium
9308.0,0.68,0.44,5.0,165.0,3.0,0.0,0.0,RandD,medium
3376.0,0.91,0.85,3.0,244.0,3.0,1.0,0.0,sales,medium
7836.0,0.99,0.9,4.0,181.0,3.0,0.0,0.0,support,medium
14006.0,0.61,0.89,4.0,242.0,2.0,0.0,0.0,management,medium
2977.0,0.24,0.55,5.0,208.0,5.0,0.0,0.0,RandD,low
8593.0,0.75,0.82,4.0,252.0,3.0,0.0,0.0,technical,low
3942.0,0.9,0.6,4.0,252.0,3.0,0.0,0.0,support,low
11020.0,0.78,0.96,2.0,285.0,3.0,0.0,0.0,sales,high
4366.0,0.6,0.93,5.0,270.0,3.0,1.0,0.0,sales,low
13994.0,0.84,0.78,4.0,263.0,3.0,0.0,0.0,IT,low
10421.0,0.89,0.99,4.0,274.0,4.0,0.0,0.0,technical,low
13400.0,0.79,0.82,5.0,158.0,2.0,0.0,0.0,support,low
10264.0,0.92,0.88,4.0,151.0,3.0,0.0,0.0,technical,low
6569.0,0.63,0.98,4.0,228.0,3.0,0.0,0.0,marketing,medium
13396.0,0.84,0.75,4.0,135.0,3.0,0.0,1.0,RandD,medium
11980.0,0.52,0.55,5.0,174.0,3.0,1.0,0.0,sales,medium
2546.0,0.52,0.38,6.0,169.0,3.0,0.0,0.0,accounting,low
